case_idx,query_field,query,target_path,target_in_index,category,hit_top5,rank,result_paths,result_paths_list,problem_type,problem_priority,rank_sort,reason_bucket,target_top_dir,target_parent,top1_path,any_same_parent,any_same_top_dir
4,simple_task_en,I want to know what auxiliary tools are available in this software suite besides the main program.,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/ISO11783/ISO11783IL/ILObjectPoolComponent/ILOPSupportAuxiliaryControl.md', 'CANoeCANalyzer/ISO11783/VirtualTerminalWindow/PageAuxiliary.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPOnAuxiliaryInput.md', 'CAPLBrowser/CAPLBrowserWindows.md']","['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/ISO11783/ISO11783IL/ILObjectPoolComponent/ILOPSupportAuxiliaryControl.md', 'CANoeCANalyzer/ISO11783/VirtualTerminalWindow/PageAuxiliary.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPOnAuxiliaryInput.md', 'CAPLBrowser/CAPLBrowserWindows.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md,False,True
4,complex_task_en,"While configuring the simulation environment, I found that I need to edit database files and manage security configuration files. I want to check if there are specialized editors or configuration management tools in this software ecosystem and how to launch them to assist my script development.",CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssignDatabase.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md']","['CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssignDatabase.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md,False,True
5,simple_task_zh,"我想了解这个软件系列中不同版本（如pro, run, pex）的功能差异。",CANoeCANalyzer/CANoeCANalyzerProductFamily.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPGetVersion.md', 'CAPLFunctions/Obsolete/TestISO11783il/CAPLfunctionTestIso11783ILOPGetVersion.md']","['CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPGetVersion.md', 'CAPLFunctions/Obsolete/TestISO11783il/CAPLfunctionTestIso11783ILOPGetVersion.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md,False,True
5,complex_task_zh,我需要为一个新的测试项目选择合适的软件版本。我听说有专门用于执行的GUI版本，也有支持全功能开发和.NET编程的版本，我想查一下它们的具体区别和适用场景，以便向领导申请采购。,CANoeCANalyzer/CANoeCANalyzerProductFamily.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md', 'Shared/NET.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'COMInterface/Objects/COMObjectVersion.md', 'CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETDebugging.md']","['CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md', 'Shared/NET.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'COMInterface/Objects/COMObjectVersion.md', 'CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETDebugging.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md,False,True
5,simple_task_en,"I want to understand the functional differences between different versions (e.g., pro, run, pex) in this software family.",CANoeCANalyzer/CANoeCANalyzerProductFamily.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'CAPLFunctions/Obsolete/TestISO11783il/CAPLfunctionTestIso11783ILOPGetVersion.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPGetVersion.md']","['CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'CAPLFunctions/Obsolete/TestISO11783il/CAPLfunctionTestIso11783ILOPGetVersion.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPGetVersion.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md,False,True
5,complex_task_en,I need to choose the appropriate software version for a new testing project. I heard there are GUI versions specifically for execution and versions that support full development and .NET programming. I want to check their specific differences and application scenarios to apply for procurement.,CANoeCANalyzer/CANoeCANalyzerProductFamily.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md', 'Shared/NET.md', 'CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETDebugging.md', 'CANoeCANalyzer/VTPPlatformManager/CANoePlugIN/CANoePlugInExecutionEnvironment.md', 'CANoeCANalyzer/SIL/SILTechnicalDetails.md']","['CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md', 'Shared/NET.md', 'CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETDebugging.md', 'CANoeCANalyzer/VTPPlatformManager/CANoePlugIN/CANoePlugInExecutionEnvironment.md', 'CANoeCANalyzer/SIL/SILTechnicalDetails.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Ribbon/File/Options/Programming/ProgrammingNETNamespaces.md,False,True
6,simple_task_zh,我想查询该工具支持的所有总线测试检查（Checks）的详细列表。,TestCommands/CheckDescriptions.md,True,查询核心概念与技术细节,False,,"['CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md', 'CAPLFunctions/Test/CAPLfunctionsTSLOverview.md', 'CAPLFunctions/ObjectOrientedProg/CAPLfunctionsOOPTestCheck.md', 'CANoeCANalyzer/J1939/blocks/obdimmonitor/tabs/obdimmTabTest.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/Functions/CAPLfunctionJ1939TestChkQueryCount.md']","['CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md', 'CAPLFunctions/Test/CAPLfunctionsTSLOverview.md', 'CAPLFunctions/ObjectOrientedProg/CAPLfunctionsOOPTestCheck.md', 'CANoeCANalyzer/J1939/blocks/obdimmonitor/tabs/obdimmTabTest.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/Functions/CAPLfunctionJ1939TestChkQueryCount.md']",miss,0,99.0,short_or_under_specified_query,TestCommands,TestCommands,CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md,False,False
6,complex_task_zh,"我在编写测试脚本，需要自动监控报文的周期时间和信号值的变化。我记得系统提供了一些内置的检查功能，比如监控周期性发送间隔或信号有效性，我想查一下这些检查在不同总线类型（CAN, LIN, J1939等）上的支持情况。",TestCommands/CheckDescriptions.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/CANopen/TfsNodelayer/Monitoring.md', 'TestCommands/CheckDescriptions/CDSignalCycleTimeAbsolute.md', 'CAPLFunctions/SmartCharging/Functions/CAPLfunctionSCC_SLAC_GetSignalType.md', 'CAPLFunctions/LIN/Selectors/CAPLfunctionLINBaudrateEvent.md', 'SampConf/LIN/CANoe/LINTestServiceLibrary/LINTestServiceLibrarySAEJ2602.md']","['CANoeCANalyzer/CANopen/TfsNodelayer/Monitoring.md', 'TestCommands/CheckDescriptions/CDSignalCycleTimeAbsolute.md', 'CAPLFunctions/SmartCharging/Functions/CAPLfunctionSCC_SLAC_GetSignalType.md', 'CAPLFunctions/LIN/Selectors/CAPLfunctionLINBaudrateEvent.md', 'SampConf/LIN/CANoe/LINTestServiceLibrary/LINTestServiceLibrarySAEJ2602.md']",miss,0,99.0,same_top_module_candidates,TestCommands,TestCommands,CANoeCANalyzer/CANopen/TfsNodelayer/Monitoring.md,False,True
6,simple_task_en,I want to query the detailed list of all bus test checks supported by this tool.,TestCommands/CheckDescriptions.md,True,查询核心概念与技术细节,False,,"['CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md', 'CAPLFunctions/Test/CAPLfunctionsTSLOverview.md', 'CANoeCANalyzer/J1939/blocks/obdimmonitor/tabs/obdimmTabTest.md', 'SampConf/LIN/CANoe/LINTestServiceLibrary/LINTestServiceLibrarySAEJ2602.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783getbus.md']","['CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md', 'CAPLFunctions/Test/CAPLfunctionsTSLOverview.md', 'CANoeCANalyzer/J1939/blocks/obdimmonitor/tabs/obdimmTabTest.md', 'SampConf/LIN/CANoe/LINTestServiceLibrary/LINTestServiceLibrarySAEJ2602.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783getbus.md']",miss,0,99.0,semantic_drift_or_sparse_signal,TestCommands,TestCommands,CAPLFunctions/Test/CAPLfunctionsTSLCheckOverview.md,False,False
6,complex_task_en,"I am writing a test script and need to automatically monitor message cycle times and signal value changes. I remember the system provides some built-in check functions, such as monitoring periodic transmission intervals or signal validity. I want to check the support for these checks on different bus types (CAN, LIN, J1939, etc.).",TestCommands/CheckDescriptions.md,True,查询核心概念与技术细节,False,,"['CAPLFunctions/CANopen/NodeLayerTFS/Functions/CAPLfunctionCoTfsCheckAndCompareGenericMonitorMessage.md', 'TestCommands/CheckDescriptions/Deprecated/CDJ1939CycleTime.md', 'TestCommands/CheckDescriptions/CDSignalCycleTimeAbsolute.md', 'TestCommands/CheckDescriptions/CDOccurrenceOfMessages.md', 'CAPLFunctions/Test/Functions/CAPLfunctionTestWaitForSignalsAvailable.md']","['CAPLFunctions/CANopen/NodeLayerTFS/Functions/CAPLfunctionCoTfsCheckAndCompareGenericMonitorMessage.md', 'TestCommands/CheckDescriptions/Deprecated/CDJ1939CycleTime.md', 'TestCommands/CheckDescriptions/CDSignalCycleTimeAbsolute.md', 'TestCommands/CheckDescriptions/CDOccurrenceOfMessages.md', 'CAPLFunctions/Test/Functions/CAPLfunctionTestWaitForSignalsAvailable.md']",miss,0,99.0,same_top_module_candidates,TestCommands,TestCommands,CAPLFunctions/CANopen/NodeLayerTFS/Functions/CAPLfunctionCoTfsCheckAndCompareGenericMonitorMessage.md,False,True
15,simple_task_zh,我想查询一些专业术语如'Callback'或'SUT'在CANoe环境下的具体定义。,Shared/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/CANoeCANalyzerProductFamily.md', 'CANoeCANalyzer/CANoeCANalyzer.md', 'CANoeCANalyzer/CommunicationConcept/CCComparison.md', 'CANoeCANalyzer/Test/TestConcept.md', 'CANoeCANalyzer/CANoeCANalyzerConcept.md']","['CANoeCANalyzer/CANoeCANalyzerProductFamily.md', 'CANoeCANalyzer/CANoeCANalyzer.md', 'CANoeCANalyzer/CommunicationConcept/CCComparison.md', 'CANoeCANalyzer/Test/TestConcept.md', 'CANoeCANalyzer/CANoeCANalyzerConcept.md']",miss,0,99.0,short_or_under_specified_query,Shared,Shared,CANoeCANalyzer/CANoeCANalyzerProductFamily.md,False,False
22,simple_task_zh,我想查询如何高效地在编辑器中查找并插入特定的CAPL内置函数。,Shared/FunctionExplorer.md,True,查询具体的函数/方法,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/CAPL/General/Functions.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md', 'Shared/AutocompleteInputAssistance.md']","['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/CAPL/General/Functions.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md', 'Shared/AutocompleteInputAssistance.md']",miss,0,99.0,same_parent_candidates,Shared,Shared,CAPLFunctions/Other/CAPLGeneralStartPage.md,True,True
22,simple_task_en,I want to query how to efficiently find and insert specific CAPL built-in functions in the editor.,Shared/FunctionExplorer.md,True,查询具体的函数/方法,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/AutocompleteInputAssistance.md', 'Shared/CAPL/General/Functions.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md']","['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/AutocompleteInputAssistance.md', 'Shared/CAPL/General/Functions.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md']",miss,0,99.0,same_parent_candidates,Shared,Shared,CAPLFunctions/Other/CAPLGeneralStartPage.md,True,True
26,complex_task_zh,作为新手，我想通过运行一些官方示例来学习软件功能。我想了解从哪里可以找到涵盖不同总线系统（如CAN、J1939、FlexRay）的示例工程，具体的操作步骤是什么（比如从File菜单加载），以及如果示例工程在帮助文档中没有详细说明，我应该去哪里查看对应的说明文档（如TXT文件）。,SampConf/CANoeCANalyzerSampleConfigurations.md,True,查询针对特定复杂任务提供的实现方案说明(Guidelines / Examples),False,,"['COMInterface/Samples/COMSamples.md', 'SampConf/CAN/CANoe/Easy/EasyOverviewCN.md', 'SampConf/Programming/SampConfsProgramming.md', 'CANoeCANalyzer/FunctionBlocks/IG/IGCANExamples.md', 'SampConf/J1939/CANoe/J1939SystemDemo/J1939SystemDemoOverview.md']","['COMInterface/Samples/COMSamples.md', 'SampConf/CAN/CANoe/Easy/EasyOverviewCN.md', 'SampConf/Programming/SampConfsProgramming.md', 'CANoeCANalyzer/FunctionBlocks/IG/IGCANExamples.md', 'SampConf/J1939/CANoe/J1939SystemDemo/J1939SystemDemoOverview.md']",miss,0,99.0,same_top_module_candidates,SampConf,SampConf,COMInterface/Samples/COMSamples.md,False,True
26,complex_task_en,"As a beginner, I want to learn software features by running some official examples. I want to know where to find sample projects covering different bus systems (such as CAN, J1939, FlexRay), what the specific steps are (e.g., loading from the File menu), and where to look for the corresponding documentation (such as TXT files) if the sample project isn't detailed in the help manual.",SampConf/CANoeCANalyzerSampleConfigurations.md,True,查询针对特定复杂任务提供的实现方案说明(Guidelines / Examples),False,,"['SampConf/CAN/CANoe/Easy/EasyOverviewCN.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionj1939getbus.md', 'SampConf/FlexRay/CANoe/FlexRaySystemDemoCANoe.md', 'COMInterface/Samples/COMSamples.md', 'SampConf/J1939/CANwin/TruckOverview/TruckOverview.md']","['SampConf/CAN/CANoe/Easy/EasyOverviewCN.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionj1939getbus.md', 'SampConf/FlexRay/CANoe/FlexRaySystemDemoCANoe.md', 'COMInterface/Samples/COMSamples.md', 'SampConf/J1939/CANwin/TruckOverview/TruckOverview.md']",miss,0,99.0,same_top_module_candidates,SampConf,SampConf,SampConf/CAN/CANoe/Easy/EasyOverviewCN.md,False,True
