case_idx,query_field,query,target_path,target_in_index,category,hit_top5,rank,result_paths
2,complex_task_en,"I need to write a CAPL program to simulate node behavior. Since I am unfamiliar with this language, I want to check the technical reference start page first to see the classification of function libraries it supports for specific buses (like CAN, Ethernet) or specific themes (like diagnostics, testing).",CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,1.0,"['CAPLFunctions/CAPLfunctions.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CANoeCANalyzer/Interfaces/MATLAB/ModelingConcepts/MATLABmcSoftwareLayers.md', 'CANoeCANalyzer/General/Programming.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/CAPL/CAPLIntroduction.md', 'Shared/FunctionExplorer.md', 'CANoeCANalyzer/General/HELP_NETNODES.md', 'CAPLFunctions/CANopen/CAPLfunctionsCANopenOverview.md', 'CANoeCANalyzer/CAPL/CAPL.md', 'QuickStartGuide/11CreatingCAPLProgramm/11CreatingCAPLProgramm.md', 'CAPLFunctions/CAN/Selectors/CAPLSelectorSIM.md', 'CANoeCANalyzer/CANopen/popups/capl.md', 'CANoeCANalyzer/NewFeatures/Domain/NewFeaturesDomainCAPLBrowser.md', 'Shared/DocumentView.md']"
3,simple_task_zh,我想了解该仿真工具的核心功能和它可以处理的常见任务。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CAPLFunctions/Other/Functions/CAPLfunctionIsSimulated.md', 'CANoeCANalyzer/ARINC825/ARINC825Features.md', 'COMInterface/Objects/COMObjectSimulation.md', 'COMInterface/Objects/COMObjectSimulationSetup.md', 'SampConf/J1939/CANoe/J1939SystemDemo/Functions/J1939SystemDemoFunctionOverview.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'CANoeCANalyzer/Ribbon/RibbonStimulationSimulation.md', 'SampConf/popups/PopupCLfun.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/Application_Socket/MOST_Simulation_Concept_Function_Service.md', 'CAPLFunctions/CANoeIL/CAPLfunctionsCANoeILOverviewExecContext.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md', 'CANoeCANalyzer/ARINC825/ARINC825Concept.md', 'SampConf/J1939/CANoe/J1939SystemDemo/Functions/J1939SystemDemoPanels.md']"
3,complex_task_zh,我司刚引入了一套测试系统，我需要全面了解这个软件在整个开发周期中能起到什么作用，以及它有哪些常用的操作流程，比如如何录制数据、如何进行剩余总线仿真等基础知识。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'TestCommands/CheckReport/CRSUT.md', 'CANoeCANalyzer/Test/TestFeatures.md', 'CANoeCANalyzer/VTSystem/VTSystem.md', 'SampConf/MOST/CANoe/MOSTSystemDemo/MOSTSystemDemoTestCN.md', 'SampConf/SIL/SampConfsSIL.md', 'CAPLFunctions/Test/Functions/CAPLfunctionTestGetCurrentCycle.md', 'CANoeCANalyzer/Test/TestConcept.md', 'SampConf/J1939/CANoe/J1939SystemDemo/Functions/J1939SystemDemoFunctionOverview.md', 'CANoeCANalyzer/Test/TestServiceLibrary.md', 'SampConf/MOST/CANoe/Tester/testerOverviewCn.md', 'CANoeCANalyzer/NewFeatures/Domain/NewFeaturesDomainTesting.md', 'SampConf/ISO11783/CANoe/TestAutomation/TestAutomationCN.md', 'SampConf/IOhil/CANoe/VTSystem/VTSystemOnline/VTSystemOverview.md', 'SampConf/IOhil/CANoe/VTSystem/VTSystemOffline/VTSystemOffOverview.md']"
3,simple_task_en,I want to understand the core functions of this simulation tool and the common tasks it can handle.,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CAPLFunctions/Other/Functions/CAPLfunctionIsSimulated.md', 'CANoeCANalyzer/Ribbon/RibbonStimulationSimulation.md', 'SampConf/J1939/CANoe/J1939SystemDemo/Functions/J1939SystemDemoFunctionOverview.md', 'CANoeCANalyzer/ARINC825/ARINC825Features.md', 'COMInterface/Objects/COMObjectSimulationSetup.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CAPLFunctions/SmartCharging/Functions/CAPLfunctionSCC_GetSimulationState.md', 'CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/CANoeIL/CAPLfunctionsCANoeILOverviewExecContext.md', 'CAPLBrowser/CAPLBrowser.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/gsMainWnd.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/procedures/gsSimulate.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/gsOverview.md']"
3,complex_task_en,"My company just introduced a testing system, and I need to comprehensively understand the role this software plays throughout the development cycle, as well as its common operational workflows, such as how to record data and how to perform remaining bus simulation.",CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'CANoeCANalyzer/SimulationStimulation/ConfigurationRemainingBusSimulation.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'CANoeCANalyzer/CANopen/tips/tipsBackgroundBusload.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupConcepts.md', 'TestCommands/CheckReport/CRSUT.md', 'CAPLFunctions/Test/Functions/CAPLfunctionTestGetCurrentCycle.md', 'CANoeCANalyzer/Test/TestConcept.md', 'CANoeCANalyzer/Interfaces/IntegrationBus.md', 'CANoeCANalyzer/FunctionBlocks/ids_insert_replay.md', 'CANoeCANalyzer/Test/TestFeatures.md', 'SampConf/ISO11783/CANoe/TestAutomation/TestAutomationCN.md', 'CANoeCANalyzer/ISO11783/conceptISO11783.md']"
4,simple_task_zh,我想知道这个软件套件里除了主程序外，还有哪些辅助工具可以使用。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CAPLBrowser/CAPLBrowserWindows.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'CANoeCANalyzer/VTPPlatformManager/VN8800Series_AppControl.md', 'CANoeCANalyzer/Windows/Windows.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/VisualSequencer/VisualSequencerToolbar.md', 'CANoeCANalyzer/A429/windows/ig/A429IGConfigToolb.md', 'COMInterface/Programming/COMProgrammingRAD.md', 'CANoeCANalyzer/Windows/TestEnvironments/TestEnvironmentsShortcutMenu.md', 'COMInterface/Objects/COMObjectBasicModules.md', 'CANoeCANalyzer/Ribbon/RibbonHome.md', 'COMInterface/Objects/COMObjectBasicModule.md', 'COMInterface/Objects/COMObjectAvailableModules.md', 'Shared/DocumentView.md']"
4,complex_task_zh,在配置仿真环境时，我发现需要编辑数据库文件和管理安全配置文件。我想查一下这个软件生态中是否有专门的编辑器或配置管理工具，以及如何启动这些工具来辅助我的脚本开发工作。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,True,6.0,"['CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/General/DatabaseEditors.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md', 'CANoeCANalyzer/CANoeCANalyzerTools.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssignDatabase.md', 'CANoeCANalyzer/Ribbon/RibbonFile.md', 'CANoeCANalyzer/Interfaces/MATLAB/Setup/MATLABSetupIL.md', 'CANoeCANalyzer/Diagnostics/BasicDiagnostics/BasicDiagnosticsEditorMenuBar.md', 'CANoeCANalyzer/Windows/CANoeCANalyzerWindowsDragAndDropFileExplorer.md', 'CANoeCANalyzer/Ethernet/Procedures/StartCreateConfig.md', 'CANoeCANalyzer/Diagnostics/BasicDiagnostics/BasicDiagnosticsEditor.md', 'CANoeCANalyzer/Ribbon/StimulationSimulation/SecurityConfiguration.md', 'CANoeCANalyzer/Diagnostics/BasicDiagnostics/BasicDiagnostics.md']"
4,simple_task_en,I want to know what auxiliary tools are available in this software suite besides the main program.,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/ISO11783/VirtualTerminalWindow/PageAuxiliary.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPOnAuxiliaryInput.md', 'CAPLBrowser/CAPLBrowserWindows.md', 'CANoeCANalyzer/ISO11783/ISO11783IL/ILObjectPoolComponent/ILOPSupportAuxiliaryControl.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'CANoeCANalyzer/Windows/Windows.md', 'CANoeCANalyzer/VisualSequencer/VisualSequencerToolbar.md', 'CAPLFunctions/ISO11783/ISOInteractionLayerVT/Functions/CAPLfunctionIso11783VTILCreateAuxAssignment.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783OPOnAuxiliaryInput.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'Shared/DocumentView.md', 'CAPLFunctions/ISO11783/ISOInteractionLayerVT/Functions/CAPLfunctionIso11783VTILRemoveAuxAssignment.md', 'CANoeCANalyzer/VisualSequencer/VisualSequencerStartPauseStop.md']"
4,complex_task_en,"While configuring the simulation environment, I found that I need to edit database files and manage security configuration files. I want to check if there are specialized editors or configuration management tools in this software ecosystem and how to launch them to assist my script development.",CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssignDatabase.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md', 'CANoeCANalyzer/Interfaces/MATLAB/Setup/MATLABSetupIL.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/Windows/CANoeCANalyzerWindowsDragAndDropFileExplorer.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupConcepts.md', 'CANoeCANalyzer/General/DatabaseEditors.md', 'CAPLBrowser/General/CAPLBrowserDatabases.md', 'CANoeCANalyzer/Ribbon/StimulationSimulation/SecurityConfiguration.md', 'CANoeCANalyzer/Ribbon/RibbonFile.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineNodes.md', 'CANoeCANalyzer/LibrariesPackages/VectorILCAN/VectorILCANUsage.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupNetworkRename.md']"
5,simple_task_zh,"我想了解这个软件系列中不同版本（如pro, run, pex）的功能差异。",CANoeCANalyzer/CANoeCANalyzerProductFamily.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsCreatePDX.md', 'CANoeCANalyzer/General/Licensing/LicensingInformation.md', 'CANoeCANalyzer/General/FeatureMatrix.md', 'CAPLFunctions/ISO11783/ISOInteractionLayer/Functions/CAPLfunctionIso11783ILOPGetVersion.md', 'CAPLFunctions/Obsolete/TestISO11783il/CAPLfunctionTestIso11783ILOPGetVersion.md', 'COMInterface/Objects/COMObjectVersion.md', 'COMInterface/Methods/COMMethodIsRunning.md', 'SampConf/popups/PopupCLpro.md', 'CANoeCANalyzer/CANopen/popups/pdo.md', 'CAPLBrowser/CAPLBrowserWindows.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783OPGetVersion.md', 'SampConf/popups/PopupCLexp.md', 'CANoeCANalyzer/Diagnostics/DiagISOTPconfig/DiagDescr/DiagnosticsODXHints.md', 'CANoeCANalyzer/General/Licensing/Licensing.md', 'CANoeCANalyzer/Ribbon/File/Options/General/GeneralLicense.md']"
